exp_id,fish_id,t,x,y,timestep,x_translated,y_translated,u,v,u_translated,v_translated
210,1,1.12,-0.1358,0.1116,0,0.8642,1.1116,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,1.48,-0.1366,0.1111,1,0.8634,1.1111,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,2.2,-0.16,0.0358,2,0.84,1.0358,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,2.8,-0.1536,-0.0513,3,0.8464,0.9487,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,3.32,-0.1405,-0.1124,4,0.8594999999999999,0.8876,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,4.08,-0.0773,-0.1495,5,0.9227,0.8505,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,4.92,-0.0003,-0.1453,6,0.9997,0.8547,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,5.72,0.0448,-0.1423,7,1.0448,0.8577,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,6.36,0.0827,-0.112,8,1.0827,0.888,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,7.0,0.1014,-0.0412,9,1.1014,0.9588,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,7.68,0.0673,0.0302,10,1.0673,1.0302,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,8.32,0.0075,0.0689,11,1.0075,1.0689,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,9.2,-0.0396,0.0919,12,0.9604,1.0919,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,10.56,-0.1016,-0.0051,13,0.8984,0.9949,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,11.28,-0.1274,-0.0885,14,0.8726,0.9115,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,12.36,-0.0371,-0.1684,15,0.9629,0.8316,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,13.0,0.0208,-0.1668,16,1.0208,0.8331999999999999,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,14.08,0.1069,-0.1599,17,1.1069,0.8401000000000001,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,14.76,0.1388,-0.0985,18,1.1388,0.9015,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,15.52,0.1523,-0.014,19,1.1522999999999999,0.986,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,16.8,0.1683,0.0596,20,1.1683,1.0596,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,17.72,0.1777,0.0669,21,1.1777,1.0669,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,18.68,0.2139,-0.022,22,1.2139,0.978,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,19.16,0.1859,-0.0914,23,1.1859,0.9086,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,19.8,0.1201,-0.1672,24,1.1201,0.8328,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,20.44,0.0448,-0.1863,25,1.0448,0.8137,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,22.04,-0.1022,-0.117,26,0.8978,0.883,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,22.6,-0.1122,-0.1021,27,0.8878,0.8979,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,23.12,-0.1147,-0.0977,28,0.8853,0.9023,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.7071067811865476
210,1,24.4,-0.1618,0.008,29,0.8382000000000001,1.008,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,24.92,-0.1539,0.0847,30,0.8461,1.0847,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,25.52,-0.0966,0.1799,31,0.9034,1.1799,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
210,1,25.96,-0.0187,0.2213,32,0.9813,1.2213,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
